"FullID"	"Site"	"Sector"	"SampleDate"	"IDSample"	"Succession"	"SiteName"	"Canton"	"Municipiality"	"Altitude"	"Habitat"	"X_WGS84"	"Y_WGS84"	"SiteSectorCentroidsX"	"SiteSectorCentroidsY"	"Light"	"Temperature"	"Continentality"	"Humidity"	"Soil.reaction"	"Nitrogen"	"Salt"	"CanopyCover"	"Moss_g"	"Distance"	"MossHabitat"	"mb.moss.prok"	"mb.moss.euk"
"LE2N01M"	"LE"	"2"	"24.08.2018"	"I1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.997306055207636	0.44666345381152	1.23006181111196	0.798837793011966	0.0210195010666989	0.611412542473189
"LE2N02M"	"LE"	"2"	"24.08.2018"	"E0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.997306055207636	-0.624458372216297	1.23006181111196	0.798837793011966	-0.140113448437055	0.601830182157446
"LE3N01M"	"LE"	"3"	"24.08.2018"	"S0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.360035426	234669.108800555	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.970611098095293	-1.17951992005762	1.23026013239483	-0.116796859468533	-0.12938198134153	0.0562259811272014
"LE3N02M"	"LE"	"3"	"24.08.2018"	"G0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575555.360035426	234669.108800555	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.970611098095293	0.136349003949109	1.23026013239483	-0.116796859468533	0.185543128008565	-0.323592868752025
"LE4N01M"	"LE"	"4"	"24.08.2018"	"B1"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575561.556657458	234683.949411915	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.627095632317198	1.13399017700403	1.23062764921722	0.302040031631518	0.366166450292984	0.446043351205502
"LE4N02M"	"LE"	"4"	"24.08.2018"	"N0"	"Moss"	"LE - Les Embreux"	"JU"	"Les Gevenez"	-0.154402230073226	"Raised peat bog"	7.11572133320043	47.2625172509751	575561.556657458	234683.949411915	-0.95610305112203	-0.864158547399991	0.958265558204912	-1.39503925871139	0.446529518378357	-0.029567077073896	-0.0724622486848182	0.627095632317198	2.02423654956013	1.23062764921722	0.302040031631518	0.490294863904769	-0.297430794410272
"LM1N01M"	"LM"	"1"	"21.08.2018"	"X0"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573977.760281982	138398.617920706	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-0.812883702009051	1.13568588438033	-0.994436056572956	0.302040056679448	-0.384399017424376	0.783152888189702
"LM1N02M"	"LM"	"1"	"21.08.2018"	"F1"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573977.760281982	138398.617920706	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-0.812883702009051	0.81067530392334	-0.994436056572956	0.302040056679448	-1.48998324476964	0.444231301863966
"LM2N01M"	"LM"	"2"	"21.08.2018"	"H0"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573978.338033332	138404.699847433	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-1.02724920456805	-0.165486909031815	-0.994293537585912	0.302040030741927	0.751550944817734	0.167332913064096
"LM2N02M"	"LM"	"2"	"21.08.2018"	"C0"	"Moss"	"LM - Les Mosses"	"VD"	"Ormont-Dessous"	1.33650003737696	"Raised peat bog"	7.10030346114215	46.3964800387024	573978.338033332	138404.699847433	0.746157839769155	0.556670455601891	-0.262646074339377	1.41386681827344	-0.395750890837134	-0.388473792999764	-0.441939103845344	-1.02724920456805	-0.260446522104465	-0.994293537585912	0.302040030741927	0.608176856058796	0.116397525640872
